Arrival_Date,Modal_Price
2020-01-31,10558.602150537636
2020-02-29,10252.298850574713
2020-03-31,10273.118279569893
2020-04-30,11016.944444444443
2020-05-31,10904.569892473119
2020-06-30,11120.555555555557
2020-07-31,11852.956989247312
2020-08-31,10673.924731182797
2020-09-30,10829.222222222223
2020-10-31,9499.462365591397
2020-11-30,9812.222222222223
2020-12-31,9705.10752688172
2021-01-31,9247.58064516129
2021-02-28,8594.940476190477
2021-03-31,8503.763440860215
2021-04-30,7843.055555555556
2021-05-31,10650.806451612903
2021-06-30,10284.166666666666
2021-07-31,10092.741935483871
2021-08-31,10666.935483870968
2021-09-30,9658.333333333334
2021-10-31,9470.967741935483
2021-11-30,9490.972222222223
2021-12-31,9897.043010752688
2022-01-31,9925.672043010753
2022-02-28,10528.744047619048
2022-03-31,8807.258064516129
2022-04-30,11318.333333333334
2022-05-31,12222.849462365592
2022-06-30,13495.0
2022-07-31,12419.489247311829
2022-08-31,12701.344086021507
2022-09-30,13584.166666666666
2022-10-31,12786.559139784946
2022-11-30,11953.555555555557
2022-12-31,12695.967741935483
2023-01-31,12820.698924731183
2023-02-28,14643.154761904761
2023-03-31,14887.09677419355
2023-04-30,17031.666666666668
2023-05-31,17567.74193548387
2023-06-30,18920.277777777774
2023-07-31,18129.301075268817
2023-08-31,18931.451612903227
2023-09-30,17385.555555555555
2023-10-31,17136.827956989247
2023-11-30,17193.333333333332
2023-12-31,16784.139784946237
2024-01-31,17901.88172043011
2024-02-29,15665.51724137931
2024-03-31,16018.010752688171
2024-04-30,18443.888888888887
2024-05-31,19516.397849462366
2024-06-30,20293.888888888887
2024-07-31,21197.311827956986
2024-08-31,21116.935483870966
2024-09-30,21560.833333333332
2024-10-31,21878.494623655915
2024-11-30,21639.027777777777
2024-12-31,21854.97311827957
2025-01-31,22783.198924731183
2025-02-28,27056.547619047622
2025-03-31,26322.983870967742
2025-04-30,25955.833333333332
2025-05-31,24826.88172043011
2025-06-30,22132.638888888887
2025-07-31,18993.010752688173
2025-08-31,21657.66129032258
2025-09-30,22995.833333333332
2025-10-31,23725.0
2025-11-30,22403.069444444445
2025-12-31,27627.553763440857
2026-01-31,20979.310344827587
